1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
1,11 11 11 11 11 11 11 11 11 11
2,26 26 26 26 26 26 26 26 26 26
2,26 26 15 26 26 26 26 26 26 26
2,26 26 26 26 26 26 26 26 26 26
2,26 26 27 26 26 26 26 26 26 26
2,26 26 27 27 26 26 26 26 26 26
2,26 26 26 26 26 26 26 26 26 26
2,26 26 26 26 26 26 26 26 26 26
2,26 26 26 26 26 26 26 26 26 26
2,26 26 26 26 26 26 26 26 26 26
2,26 26 26 26 26 26 26 26 26 26
